,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,butaritari,100,KI,1603729758,67,3.07,172.79,27.35,3.67
88,nouadhibou,82,MR,1603729759,57,20.93,-17.03,25.0,5.7
89,shache,52,CN,1603730100,53,38.42,77.24,6.3,2.24
90,thompson,90,CA,1603729802,73,55.74,-97.86,-4.0,4.6
91,shingu,19,JP,1603729901,73,33.73,135.98,12.3,2.8
92,los llanos de aridane,75,ES,1603729841,64,28.66,-17.92,23.0,5.7
93,tromso,0,NO,1603729734,56,69.65,18.96,7.0,8.2
94,kati,0,ML,1603730299,11,12.74,-8.07,36.0,2.1
95,inhambane,20,MZ,1603730299,74,-23.86,35.38,26.0,3.1
96,lorengau,65,PG,1603729743,72,-2.02,147.27,26.49,0.21
97,sioux lookout,75,CA,1603729772,79,50.1,-91.92,-4.0,4.1
98,chandur bazar,1,IN,1603730300,44,21.24,77.75,22.81,2.19
99,coihaique,75,CL,1603730300,58,-45.58,-72.07,12.0,4.6
100,san matias,96,BO,1603730301,33,-16.37,-58.4,37.71,3.98
101,husavik,75,IS,1603730131,69,66.04,-17.34,4.0,2.1
102,ilhabela,11,BR,1603729630,69,-23.78,-45.36,25.39,3.71
103,tasiilaq,100,GL,1603729760,50,65.61,-37.64,1.0,9.3
104,honiara,20,SB,1603730302,94,-9.43,159.95,23.0,1.61
105,harper,67,LR,1603729820,84,4.38,-7.72,26.72,3.83
106,chateaubelair,40,VC,1603730302,74,13.28,-61.25,30.0,1.0
107,coquimbo,40,CL,1603730303,77,-29.95,-71.34,15.0,8.7
108,alofi,99,NU,1603729872,84,-19.06,-169.92,23.7,10.2
109,buraydah,0,SA,1603730303,18,26.33,43.98,27.0,2.1
110,georgetown,20,MY,1603729759,88,5.41,100.34,26.0,1.92
111,borborema,59,BR,1603730304,38,-21.62,-49.07,32.49,1.68
112,lichinga,75,MZ,1603729746,77,-13.31,35.24,21.0,2.1
113,terney,0,RU,1603730304,73,45.05,136.61,4.92,3.24
114,mahebourg,40,MU,1603729763,73,-20.41,57.7,24.0,5.1
115,kaduqli,55,SD,1603730305,33,11.02,29.72,29.3,1.06
116,rosario,0,AR,1603730292,33,-32.95,-60.64,24.44,6.7
117,kalmunai,31,LK,1603730305,77,7.42,81.82,27.11,0.94
118,valle de santiago,20,MX,1603730306,49,20.38,-101.2,22.0,0.72
119,port hardy,90,CA,1603729845,93,50.7,-127.42,6.0,3.1
120,taonan,0,CN,1603730306,70,45.33,122.78,3.23,4.48
121,hithadhoo,0,MV,1603729779,65,-0.6,73.08,28.7,2.56
122,axim,89,GH,1603730306,81,4.87,-2.24,27.05,4.14
123,alihe,96,CN,1603730307,98,50.57,123.72,-0.02,0.92
124,barrow,1,US,1603729738,85,71.29,-156.79,-8.0,0.47
125,simpang empat,20,MY,1603730065,83,4.95,100.63,26.0,1.5
126,podosinovets,94,RU,1603730307,95,60.28,47.07,-1.99,0.67
127,bonavista,26,CA,1603730308,53,48.65,-53.11,4.44,4.02
128,manado,20,ID,1603730308,100,1.49,124.85,24.0,1.74
129,cranbrook,75,CA,1603730308,85,49.5,-115.77,-11.0,1.26
130,bereda,97,ES,1603729840,92,43.27,-7.54,11.11,2.68
131,hami,100,CN,1603729839,61,42.8,93.45,4.03,0.98
132,katsuura,40,JP,1603729769,67,35.13,140.3,17.0,5.7
133,north bend,1,US,1603730265,45,43.41,-124.22,8.89,2.6
134,inuvik,75,CA,1603729880,92,68.35,-133.72,-14.0,3.6
135,ust-maya,38,RU,1603729775,92,60.42,134.53,-12.48,1.45
136,saskylakh,89,RU,1603729760,92,71.92,114.08,-17.48,2.95
137,marsh harbour,0,BS,1603729777,74,26.54,-77.06,28.16,4.31
138,ostrovnoy,100,RU,1603729865,91,68.05,39.51,0.71,13.44
139,arlit,0,NE,1603730311,12,18.74,7.39,30.77,3.5
140,narsaq,75,GL,1603729799,28,60.92,-46.05,8.0,8.7
141,greencastle,90,US,1603730229,93,39.64,-86.86,8.33,4.1
142,swan hill,100,AU,1603730312,82,-35.34,143.55,11.37,2.85
143,kutahya,0,TR,1603730313,51,39.42,29.98,18.0,3.1
144,airai,96,TL,1603729837,100,-8.93,125.41,16.57,0.97
145,tocopilla,7,CL,1603730313,47,-22.09,-70.2,20.09,2.69
146,kununurra,90,AU,1603729854,78,-15.77,128.73,28.0,3.6
147,dawlatabad,0,AF,1603730314,46,36.41,64.91,10.7,0.91
148,atambua,91,ID,1603730314,84,-9.11,124.89,24.55,1.86
